시도명,시군구명,시설명,상세주소,시설면적,경도,위도,관리부서
경상남도,고성군,고성오광대 보존회,경상남도 고성군 고성읍남해안대로 2571  ,3955.0000,128.334083,34.973663,
경상남도,고성군,대성초등학교,경상남도 고성군 고성읍동외로151번길 60  ,933.0000,128.322765,34.975624,대성초등학교장
경상남도,창녕군,부곡중학교,경상남도 창녕군 부곡면부곡로 101-32  ,300.0000,128.607549,35.437055,조현종(야간:행정실장
경상남도,창녕군,길곡초등학교,경상남도 창녕군 길곡면낙동로 1498  ,2838.0000,128.568185,35.384660,원평희(야간:주무관 황
경상남도,창녕군,도천초등학교,경상남도 창녕군 도천면도천3길 16  ,1642.0000,128.517241,35.434335,원용규(야간:주무관 노
경상남도,창녕군,영산초등학교,경상남도 창녕군 영산면영산새싹길 25  ,500.0000,128.529134,35.458098,전재영(야간:주무관 이
경상남도,창녕군,장마초등학교,경상남도 창녕군 장마면강리길 61  ,8700.0000,128.476945,35.459481,이성재(야간:행정실장
경상남도,창녕군,계창초등학교,경상남도 창녕군 계성면계성장마로 399  ,1208.0000,128.508617,35.484608,이성미(야간:주무관 차
경상남도,창녕군,대지초등학교,경상남도 창녕군 대지면우포2로 943  ,1516.0000,128.463623,35.556696,하원태(야간:행정실장
경상남도,창녕군,유어초등학교,경상남도 창녕군 유어면마수원길 39  ,1653.0000,128.410982,35.509413,윤춘옥(야간:행정실장
경상남도,창녕군,장천초등학교,경상남도 창녕군 이방면이방대합로 285  ,656.0000,128.374483,35.599468,하호선(야간:행정실장
경상남도,창녕군,이방초등학교,경상남도 창녕군 이방면안리내동길 3  ,7509.0000,128.386750,35.577518,강종기(야간:행정실장
경상남도,창녕군,창녕옥야고등학교,경상남도 창녕군 이방면이방로 943-15  ,5463.0000,128.380363,35.599793,하종문(야간:행정실장
경상남도,창녕군,창녕성산초교,경상남도 창녕군 성산면중고개길 24-7  ,5500.0000,128.477858,35.623624,문희완(야간:행정실장
경상남도,창녕군,대합초등학교,경상남도 창녕군 대합면창곡길 8  ,1821.0000,128.469964,35.614430,주미령(야간:교사 윤재
경상남도,창녕군,고암초등학교,경상남도 창녕군 고암면고암성산대로 6-5  ,200.0000,128.511204,35.577160,석호룡(야간:행정실장
경상남도,창녕군,온누리캠프장,경상남도 창녕군 고암면창밀로 786  ,200.0000,128.547829,35.570663,김윤현(야간)
경상남도,창녕군,명덕초등학교,경상남도 창녕군 창녕읍명덕로 71  ,5286.0000,128.496845,35.543485,학교장(야간:주무관 소
경상남도,창녕군,남지초등학교,경상남도 창녕군 남지읍낙동로 429  ,3153.0000,128.471699,35.389116,황사철(야간:행정실장
경상남도,함안군,외암초등학교,경상남도 함안군 여항면여항로 62  ,655.0000,128.434177,35.209128,외암초등학교장
경상남도,함안군,법수초등학교,경상남도 함안군 법수면석무길 41  ,1530.0000,128.380012,35.317453,법수초등학교장
경상남도,함안군,칠북면주민자치센터,경상남도 함안군 칠북면칠북로 22  ,508.0000,128.521413,35.345994,칠북면장
경상남도,함안군,함안초등학교,경상남도 함안군 함안면함안대로 97  ,341.0000,128.421604,35.241126,함안초등학교장
경상남도,함안군,군북3.1기념체육관,경상남도 함안군 군북면함마대로 875  ,1567.0000,128.348900,35.266191,군북면장
경상남도,함안군,호암초등학교,경상남도 함안군 칠원읍호암길 30  ,868.0000,128.520570,35.274833,호암초등학교장
경상남도,함안군,예곡초등학교,경상남도 함안군 칠원읍예곡2길 25  ,600.0000,128.532540,35.276847,예곡초등학교장
경상남도,함안군,함안체육관,경상남도 함안군 가야읍함안대로 619-4  ,8852.0000,128.399424,35.280174,조현선
경상남도,함안군,칠원초등학교,경상남도 함안군 칠원읍성내길 32  ,970.0000,128.520577,35.306865,칠원초등학교장
경상남도,의령군,동부사회복지관,경상남도 의령군 부림면신번로 181  ,788.0000,128.324705,35.469544,하종성
경상남도,함안군,함안군청소년수련관,경상남도 함안군 가야읍말산1길 10  ,3116.0000,128.409662,35.273823,주민복지과장
경상남도,양산시,서창고등학교 강당,경상남도 양산시 삼호동부로 125  (삼호동),877.0000,,,
경상남도,양산시,북정초등학교 본관,경상남도 양산시 북정서길 28  (북정동),7343.0000,,,
경상남도,양산시,삼성초등학교 강당,경상남도 양산시 북정13길 28  (북정동),1279.0000,129.047285,35.364434,김태욱
경상남도,양산시,삼성중학교 본관,경상남도 양산시 북정중앙로 19  (북정동),8249.0000,129.046604,35.360955,강상철
경상남도,양산시,양산고등학교 기숙사,경상남도 양산시 호국학도병길 2  (북부동),1592.0000,129.044656,35.348947,조규옥
경상남도,양산시,"양산중학교 강당, 다목적실",경상남도 양산시 북안북12길 7  (북부동),2312.0000,129.043619,35.349685,양호석
경상남도,양산시,양산희망학교 본관,경상남도 양산시 상북면충렬로 993-25  ,9061.0000,,,
경상남도,양산시,소토초등학교 강당,경상남도 양산시 상북면율리길 13  ,1026.0000,129.053115,35.379401,강봉모
경상남도,양산시,화제초등학교 급식소,경상남도 양산시 원동면화제로 399-29  ,260.0000,128.978990,35.351055,백해경
경상남도,양산시,상북초등학교 강당,경상남도 양산시 상북면반회서8길 11  ,1698.0000,129.060198,35.416268,이양수
경상남도,양산시,동산초등학교 강당,경상남도 양산시 동면금산2길 11  ,1705.0000,129.026050,35.303424,장인환
경상남도,양산시,증산초등학교 본관,경상남도 양산시 물금읍새실1길 50  ,13002.0000,,,
경상남도,양산시,석산초등학교 본관,경상남도 양산시 동면금오16길 105  ,12011.0000,129.026842,35.321344,서수정
경상남도,양산시,신주초등학교 본관,경상남도 양산시 물금읍신주1길 58  ,10180.0000,,,
경상남도,양산시,범어중학교 본관,경상남도 양산시 물금읍범어로 14  ,10629.0000,,,
경상남도,양산시,황산초등학교 본관,경상남도 양산시 물금읍화합5길 12  ,9988.0000,,,
경상남도,양산시,물금고등학교 강당,경상남도 양산시 물금읍신주1길 20  ,11227.0000,,,
경상남도,양산시,"범어초등학교 강당,본관,후관",경상남도 양산시 물금읍동중6길 8  ,7920.0000,129.005768,35.331250,김영길
경상남도,양산시,서남초등학교  강당,경상남도 양산시 물금읍오봉로 28  ,993.0000,128.999122,35.328355,원은민
경상남도,거제시,수월중학교,경상남도 거제시 해명로 70  (수월동),777.0000,128.645088,34.890495,행정실장
경상남도,양산시,물금초등학교 강당,경상남도 양산시 물금읍가촌새터길 15  ,1539.0000,128.990649,35.316811,최윤경
경상남도,양산시,국민체육센터 체육관,경상남도 양산시 물금읍청룡로 33  ,8775.0000,,,
경상남도,거제시,삼룡초등학교,경상남도 거제시 거제중앙로 1548  (문동동),3990.0000,128.644173,34.861756,행정실장
