시도명,시군구명,시설명,상세주소,시설면적,경도,위도,관리부서
전라남도,신안군,비금동초등학교,전라남도 신안군 비금면 용소리 238-2,4700.0000,125.979760,34.784531,김홍구
전라남도,신안군,자은초등학교,전라남도 신안군 자은면 구영리 44,1983.0000,126.048257,34.891060,천경랑
전라남도,신안군,자은중학교,전라남도 신안군 자은면 구영리 120,8000.0000,126.043224,34.888171,임종욱
전라남도,신안군,임자초등학교,전라남도 신안군 임자면 대기리 348,2400.0000,126.101488,35.090184,문희숙
전라남도,신안군,임자고등학교,전라남도 신안군 임자면 대기리 353,3000.0000,126.098631,35.090678,박안석
전라남도,신안군,증도중학교,전라남도 신안군 증도면 증동리 1512,5555.0000,126.144382,34.998526,김명균
전라남도,신안군,증도초등학교,전라남도 신안군 증도면 증동리 1812-2,2873.0000,126.136611,35.002224,이승윤
전라남도,신안군,압해동초등학교,전라남도 신안군 압해읍 신장리 518-1,14709.0000,126.354551,34.841087,장성모
전라남도,신안군,압해서초등학교,전라남도 신안군 압해읍 대천리 659-1,9607.0000,126.273435,34.862561,윤석권
전라남도,신안군,압해초등학교,전라남도 신안군 압해읍 동서리 191,8006.0000,126.308677,34.867352,신희봉
전라남도,신안군,지도초등학교 선치분교,전라남도 신안군 지도읍 선도리 594-1,2441.0000,126.263650,34.982789,김인자
전라남도,신안군,지명중학교,전라남도 신안군 지도읍 광정리 1271,4403.0000,126.213697,35.060558,이종휴
전라남도,신안군,지명고등학교,전라남도 신안군 지도읍 읍내리 404-4,4300.0000,126.202259,35.064167,차왕주
전라남도,신안군,지도초등학교 어의분교,전라남도 신안군 지도읍 어의리 492,1200.0000,126.187146,35.133002,학교장
전라남도,신안군,지도초등학교,전라남도 신안군 지도읍 읍내리 93-1,2915.0000,126.207275,35.063458,문원길
전라남도,진도군,조도초등학교 운동장,전라남도 진도군 조도면 창유리 458,706.0000,126.048258,34.296185,남화경
전라남도,진도군,지산초등학교 운동장,전라남도 진도군 지산면 인지리 240-2,10101.0000,126.166755,34.421777,최병만
전라남도,진도군,석교초등학교 운동장,전라남도 진도군 임회면 석교리 416,8910.0000,126.191726,34.405530,김덕용
전라남도,진도군,오산초등학교 운동장,전라남도 진도군 고군면 오산리 1048-3,5670.0000,126.341864,34.491839,김종환
전라남도,진도군,의신초등학교 운동장,전라남도 진도군 의신면 돈지리 678-1,63962.0000,126.277913,34.440526,석종안
전라남도,진도군,금성초등학교 운동장,전라남도 진도군 군내면 둔전리 356-2,24779.0000,126.293015,34.537438,이형숙
전라남도,완도군,생영초등학교,전라남도 완도군 생일면 유서리 270,2812.0000,126.996650,34.332688,
전라남도,진도군,진도중학교 운동장,전라남도 진도군 진도읍 교동리 580-1,2268.0000,126.258586,34.483175,최평화
전라남도,완도군,금일중학교 생일분교,전라남도 완도군 생일면 유서리 626,3476.0000,126.990504,34.334970,
전라남도,완도군,보길중학교,전라남도 완도군 보길면 부황리 11-3,6348.0000,126.563378,34.168279,
전라남도,완도군,보길초등학교,전라남도 완도군 보길면 부황리 202,3422.0000,126.555332,34.162384,
전라남도,완도군,금당초등학교,전라남도 완도군 금당면 육산리 260,195.0000,127.061467,34.440702,
전라남도,완도군,보길동초등학교,전라남도 완도군 보길면 중통리 379-1,9322.0000,126.591493,34.163478,
전라남도,완도군,소안항일기념관,전라남도 완도군 소안면 가학리 259,17045.0000,126.652807,34.167166,
전라남도,완도군,진산초등학교,전라남도 완도군 소안면 진산리 847,3530.0000,126.642767,34.136722,
전라남도,완도군,미라펜션,전라남도 완도군 소안면 미라리 300,3881.0000,126.669425,34.146546,
전라남도,완도군,청산중학교,전라남도 완도군 청산면 도청리 220,4200.0000,126.863794,34.181401,
전라남도,완도군,소안중학교 운동장,전라남도 완도군 소안면 비자리 874,4503.0000,126.655923,34.173093,
전라남도,완도군,소안초등학교,전라남도 완도군 소안면 비자리 940,4734.0000,126.653763,34.171987,
전라남도,완도군,약산중고등학교,전라남도 완도군 약산면 장용리 850,4416.0000,126.899082,34.392898,
전라남도,완도군,청산초등학교,전라남도 완도군 청산면 도청리 988,4300.0000,126.858861,34.182720,
전라남도,완도군,약산초등학교,전라남도 완도군 약산면 장용리 936-1,4200.0000,126.896777,34.392764,
전라남도,완도군,신지초등학교,전라남도 완도군 신지면 대곡리 850,6706.0000,126.830170,34.337226,
전라남도,완도군,신지중학교,전라남도 완도군 신지면 대곡리 781-1,4504.0000,126.828642,34.336731,
전라남도,완도군,군외중학교,전라남도 완도군 군외면 원동리 1,1432.0000,126.653072,34.389687,
전라남도,완도군,군외초등학교,전라남도 완도군 군외면 신학리 666,2107.0000,126.646600,34.379109,
전라남도,완도군,노화북초등학교,전라남도 완도군 노화읍 신양리 452-1,3781.0000,126.577637,34.215768,
전라남도,완도군,노화중앙초등학교,전라남도 완도군 노화읍 이포리 674,5327.0000,126.572124,34.178801,
전라남도,완도군,노화초등학교,전라남도 완도군 노화읍 도청리 324,2479.0000,126.570066,34.195442,
전라남도,완도군,노화중학교,전라남도 완도군 노화읍 이포리 345,5327.0000,126.573275,34.183579,
전라남도,완도군,금일동초등학교,전라남도 완도군 금일읍 월송리 250,6500.0000,127.055504,34.340131,
전라남도,완도군,노화고등학교,전라남도 완도군 노화읍 이포리 255,6574.0000,126.577868,34.181776,
전라남도,완도군,완도군종합운동장,전라남도 완도군 완도읍 군내리 1256-2,35308.0000,126.741766,34.316460,
전라남도,완도군,금일초등학교,전라남도 완도군 금일읍 신구리 680,6500.0000,127.033500,34.355046,
전라남도,장성군,약수교회,전라남도 장성군 북하면 약수리 527-12,60.0000,126.879929,35.406115,윤병진
전라남도,장성군,약수중학교,전라남도 장성군 북하면 약수리 428-1,13603.0000,126.880750,35.406686,약수중학교장
전라남도,장성군,약수초등학교장,전라남도 장성군 북하면 약수리 406,7279.0000,126.880646,35.408013,061-392-7469
전라남도,장성군,북일초등학교,전라남도 장성군 북일면 오산리 106-1,3715.0000,126.794310,35.384741,북일초등학교장
전라남도,장성군,사거리성당,전라남도 장성군 북이면 사거리 633-2,60.0000,126.811114,35.430068,이중호
전라남도,장성군,북이초등학교,전라남도 장성군 북이면 신평리 257,4420.0000,126.799898,35.442039,북이초등학교장
전라남도,장성군,서삼초등학교,전라남도 장성군 서삼면 장산리 196,3500.0000,126.768107,35.333793,서삼초등학교장
전라남도,장성군,사창초등학교,전라남도 장성군 삼계면 사창리 270,4268.0000,126.665905,35.260533,사창초등학교장
전라남도,장성군,월평초등학교,전라남도 장성군 황룡면 월평리 61-6,4534.0000,126.774730,35.290208,월평초등학교장
전라남도,장성군,황룡중학교,전라남도 장성군 황룡면 장산리 402,6099.0000,126.758936,35.297006,황룡중학교장
전라남도,장성군,삼서중학교,전라남도 장성군 삼서면 대곡리 297-1,13933.0000,126.651720,35.228800,삼서중학교장
전라남도,장성군,삼계중학교,전라남도 장성군 삼계면 사창리 339,3705.0000,126.666061,35.257971,삼계중학교장
전라남도,장성군,동화초등학교,전라남도 장성군 동화면 용정리 717-1,3972.0000,126.736606,35.273916,동화초등학교장
전라남도,장성군,동화면사무소,전라남도 장성군 동화면 구림리 9-2,365.0000,126.738758,35.284252,장성군수
전라남도,장성군,삼서초등학교,전라남도 장성군 삼서면 대곡리 320-1,4254.0000,126.653693,35.229861,삼서초등학교장
전라남도,장성군,진원동초등학교,전라남도 장성군 진원면 용산리 841-1,4095.0000,126.863095,35.259794,진원동초등학교장
전라남도,장성군,장성남중학교,전라남도 장성군 남면 분향리 335,10070.0000,126.811464,35.243270,장성남중학교장
전라남도,장성군,분향초등학교,전라남도 장성군 남면 분향리 1083-8,1950.0000,126.801487,35.239293,분향초등학교장
전라남도,장성군,안평중앙교회,전라남도 장성군 장성읍 안평리 419-22,24.0000,126.778092,35.340473,최승호
전라남도,장성군,진원면사무소,전라남도 장성군 진원면 선적리 128,840.0000,126.833305,35.273146,장성군수
전라남도,장성군,장성중학교,전라남도 장성군 장성읍 영천리 610-2,6360.0000,126.792265,35.309186,
전라남도,장성군,장성중앙초등학교,전라남도 장성군 장성읍 영천리 880,5188.0000,126.786816,35.298794,장성중앙초등학교장
전라남도,장성군,홍길동체육관,전라남도 장성군 장성읍 기산리 388,2316.0000,126.766965,35.303052,장성군수
전라남도,장성군,장성소망교회,전라남도 장성군 장성읍 장안리 252,225.0000,126.783629,35.314760,조용국
전라남도,영광군,염산중학교,전라남도 영광군 염산면 봉남리 126,15611.0000,126.373106,35.219981,김인곤
전라남도,영광군,법성포초등학교,전라남도 영광군 법성면 대덕리 526,22305.0000,126.454843,35.359827,양경아
전라남도,영광군,안병호,전라남도 영광군 법성면 대덕리 341-1,9972.0000,126.457634,35.359328,안병호
전라남도,장성군,성산초등학교,전라남도 장성군 장성읍 성산리 450,6739.0000,126.805838,35.326054,성산초등학교장
